Crop Inputs Box: [x=0, y=470, w=83, h=424], confidence: 0.87
Crop Inputs Box: [x=0, y=202, w=12, h=31], confidence: 0.51
Crop Inputs Box: [x=0, y=202, w=12, h=31], confidence: 0.51
Crop Inputs Box: [x=0, y=202, w=12, h=31], confidence: 0.51
Crop Inputs Box: [x=0, y=202, w=12, h=31], confidence: 0.51
Crop Inputs Box: [x=0, y=202, w=12, h=31], confidence: 0.51
Crop Inputs Box: [x=0, y=202, w=12, h=31], confidence: 0.51
Crop Inputs Box: [x=0, y=202, w=12, h=31], confidence: 0.51
Crop Inputs Box: [x=0, y=202, w=12, h=31], confidence: 0.51
Crop Inputs Box: [x=0, y=202, w=12, h=31], confidence: 0.51
Crop Inputs Box: [x=0, y=202, w=12, h=31], confidence: 0.51
Crop Inputs Box: [x=0, y=202, w=12, h=31], confidence: 0.51
Crop Inputs Box: [x=0, y=202, w=12, h=31], confidence: 0.51
Crop Inputs Box: [x=0, y=202, w=12, h=31], confidence: 0.51
Crop Inputs Box: [x=0, y=202, w=12, h=31], confidence: 0.51
Crop Inputs Box: [x=0, y=202, w=12, h=31], confidence: 0.51
Crop Inputs Box: [x=0, y=202, w=12, h=31], confidence: 0.51
Crop Inputs Box: [x=0, y=202, w=12, h=31], confidence: 0.51
Crop Inputs Box: [x=0, y=202, w=12, h=31], confidence: 0.51
Crop Inputs Box: [x=0, y=202, w=12, h=31], confidence: 0.51
Crop Inputs Box: [x=0, y=202, w=12, h=31], confidence: 0.51
Crop Inputs Box: [x=0, y=202, w=12, h=31], confidence: 0.51
Crop Inputs Box: [x=0, y=202, w=12, h=31], confidence: 0.51
Crop Inputs Box: [x=0, y=202, w=12, h=31], confidence: 0.51
Crop Inputs Box: [x=0, y=202, w=12, h=31], confidence: 0.51
Crop Inputs Box: [x=0, y=1410, w=249, h=1272], confidence: 0.87
Crop Inputs Box: [x=0, y=1428, w=153, h=1254], confidence: 0.74
Crop Inputs Box: [x=0, y=1410, w=249, h=1272], confidence: 0.87
Crop Inputs Box: [x=0, y=1428, w=153, h=1254], confidence: 0.74
Crop Inputs Box: [x=0, y=1428, w=153, h=1254], confidence: 0.74
Crop Inputs Box: [x=0, y=1428, w=153, h=1254], confidence: 0.74
Crop Inputs Box: [x=0, y=1428, w=153, h=1254], confidence: 0.74
Crop Inputs Box: [x=0, y=1428, w=153, h=1254], confidence: 0.74
Crop Inputs Box: [x=0, y=1512, w=246, h=945], confidence: 0.77
Crop Inputs Box: [x=0, y=1512, w=246, h=945], confidence: 0.77
Crop Inputs Box: [x=0, y=1512, w=246, h=945], confidence: 0.77
Crop Inputs Box: [x=0, y=1512, w=246, h=945], confidence: 0.77
Crop Inputs Box: [x=0, y=1512, w=246, h=945], confidence: 0.77
Crop Inputs Box: [x=0, y=1512, w=246, h=945], confidence: 0.77
Crop Inputs Box: [x=0, y=1512, w=246, h=945], confidence: 0.77
Crop Inputs Box: [x=0, y=1512, w=246, h=945], confidence: 0.77
Crop Inputs Box: [x=0, y=1512, w=246, h=945], confidence: 0.77
Crop Inputs Box: [x=0, y=1512, w=246, h=945], confidence: 0.77
Crop Inputs Box: [x=0, y=1512, w=246, h=945], confidence: 0.77
Crop Inputs Box: [x=0, y=1512, w=246, h=945], confidence: 0.77
Crop Inputs Box: [x=0, y=1512, w=246, h=945], confidence: 0.77
Crop Inputs Box: [x=0, y=1512, w=246, h=945], confidence: 0.77
Crop Inputs Box: [x=0, y=1512, w=246, h=945], confidence: 0.77
Crop Inputs Box: [x=0, y=1512, w=246, h=945], confidence: 0.77
Crop Inputs Box: [x=0, y=1512, w=246, h=945], confidence: 0.77
Crop Inputs Box: [x=0, y=1512, w=246, h=945], confidence: 0.77
Crop Inputs Box: [x=0, y=1512, w=246, h=945], confidence: 0.77
Crop Inputs Box: [x=0, y=1512, w=246, h=945], confidence: 0.77
Crop Inputs Box: [x=0, y=1512, w=246, h=945], confidence: 0.77
Crop Inputs Box: [x=0, y=1512, w=246, h=945], confidence: 0.77
Crop Inputs Box: [x=0, y=1057, w=187, h=954], confidence: 0.87
Crop Inputs Box: [x=0, y=1071, w=114, h=940], confidence: 0.74
Crop Inputs Box: [x=0, y=1071, w=114, h=940], confidence: 0.74
Crop Inputs Box: [x=0, y=1071, w=114, h=940], confidence: 0.74
Crop Inputs Box: [x=0, y=1071, w=114, h=940], confidence: 0.74
Crop Inputs Box: [x=0, y=1071, w=114, h=940], confidence: 0.74
Crop Inputs Box: [x=0, y=1071, w=114, h=940], confidence: 0.74
Crop Inputs Box: [x=0, y=1071, w=114, h=940], confidence: 0.74
Crop Inputs Box: [x=0, y=1134, w=184, h=708], confidence: 0.77
Crop Inputs Box: [x=0, y=1134, w=184, h=708], confidence: 0.77
Crop Inputs Box: [x=0, y=1134, w=184, h=708], confidence: 0.77
Crop Inputs Box: [x=0, y=1134, w=184, h=708], confidence: 0.77
Crop Inputs Box: [x=0, y=1134, w=184, h=708], confidence: 0.77
Crop Inputs Box: [x=0, y=1134, w=184, h=708], confidence: 0.77
Crop Inputs Box: [x=0, y=1134, w=184, h=708], confidence: 0.77
Crop Inputs Box: [x=0, y=1134, w=184, h=708], confidence: 0.77
Crop Inputs Box: [x=0, y=1134, w=184, h=708], confidence: 0.77
Crop Inputs Box: [x=0, y=1134, w=184, h=708], confidence: 0.77
Crop Inputs Box: [x=0, y=1134, w=184, h=708], confidence: 0.77
Crop Inputs Box: [x=0, y=1134, w=184, h=708], confidence: 0.77
Crop Inputs Box: [x=0, y=1134, w=184, h=708], confidence: 0.77
Crop Inputs Box: [x=0, y=1134, w=184, h=708], confidence: 0.77
Crop Inputs Box: [x=0, y=1134, w=184, h=708], confidence: 0.77
Crop Inputs Box: [x=0, y=1134, w=184, h=708], confidence: 0.77
Crop Inputs Box: [x=0, y=1134, w=184, h=708], confidence: 0.77
Crop Inputs Box: [x=0, y=1134, w=184, h=708], confidence: 0.77
Crop Inputs Box: [x=0, y=1134, w=184, h=708], confidence: 0.77
Crop Inputs Box: [x=0, y=1134, w=184, h=708], confidence: 0.77
Crop Inputs Box: [x=0, y=1134, w=184, h=708], confidence: 0.77
Crop Inputs Box: [x=0, y=1134, w=184, h=708], confidence: 0.77
Crop Inputs Box: [x=0, y=508, w=54, h=387], confidence: 0.56
Crop Inputs Box: [x=0, y=479, w=51, h=414], confidence: 0.57
Crop Inputs Box: [x=0, y=508, w=54, h=387], confidence: 0.56
Crop Inputs Box: [x=0, y=508, w=54, h=387], confidence: 0.56
Crop Inputs Box: [x=0, y=508, w=54, h=387], confidence: 0.56
Crop Inputs Box: [x=0, y=508, w=54, h=387], confidence: 0.56
Crop Inputs Box: [x=0, y=479, w=51, h=414], confidence: 0.57
Crop Inputs Box: [x=0, y=479, w=51, h=414], confidence: 0.57
Crop Inputs Box: [x=0, y=479, w=51, h=414], confidence: 0.57
Crop Inputs Box: [x=0, y=479, w=51, h=414], confidence: 0.57
Crop Inputs Box: [x=0, y=479, w=51, h=414], confidence: 0.57
Crop Inputs Box: [x=0, y=479, w=51, h=414], confidence: 0.57
Crop Inputs Box: [x=0, y=479, w=51, h=414], confidence: 0.57
Crop Inputs Box: [x=0, y=479, w=51, h=414], confidence: 0.57
Crop Inputs Box: [x=0, y=479, w=51, h=414], confidence: 0.57
Crop Inputs Box: [x=0, y=479, w=51, h=414], confidence: 0.57
Crop Inputs Box: [x=0, y=479, w=51, h=414], confidence: 0.57
Crop Inputs Box: [x=0, y=479, w=51, h=414], confidence: 0.57
Crop Inputs Box: [x=0, y=479, w=51, h=414], confidence: 0.57
Crop Inputs Box: [x=0, y=479, w=51, h=414], confidence: 0.57
Crop Inputs Box: [x=0, y=479, w=51, h=414], confidence: 0.57
Crop Inputs Box: [x=0, y=479, w=51, h=414], confidence: 0.57
Crop Inputs Box: [x=0, y=479, w=51, h=414], confidence: 0.57
Crop Inputs Box: [x=0, y=479, w=51, h=414], confidence: 0.57
Crop Inputs Box: [x=0, y=479, w=51, h=414], confidence: 0.57
Crop Inputs Box: [x=0, y=479, w=51, h=414], confidence: 0.57
Crop Inputs Box: [x=0, y=479, w=51, h=414], confidence: 0.57
Crop Inputs Box: [x=0, y=479, w=51, h=414], confidence: 0.57
Crop Inputs Box: [x=0, y=479, w=51, h=414], confidence: 0.57
Crop Inputs Box: [x=0, y=479, w=51, h=414], confidence: 0.57
Crop Inputs Box: [x=0, y=508, w=54, h=387], confidence: 0.56
Crop Inputs Box: [x=0, y=479, w=51, h=414], confidence: 0.57
Crop Inputs Box: [x=0, y=605, w=36, h=92], confidence: 0.44
Crop Inputs Box: [x=0, y=479, w=51, h=414], confidence: 0.57
Crop Inputs Box: [x=0, y=479, w=51, h=414], confidence: 0.57
Crop Inputs Box: [x=0, y=508, w=54, h=387], confidence: 0.56
Crop Inputs Box: [x=0, y=605, w=36, h=92], confidence: 0.44
Crop Inputs Box: [x=0, y=605, w=36, h=92], confidence: 0.44
Crop Inputs Box: [x=0, y=605, w=36, h=92], confidence: 0.44
Crop Inputs Box: [x=0, y=605, w=36, h=92], confidence: 0.44
Crop Inputs Box: [x=0, y=605, w=36, h=92], confidence: 0.44
Crop Inputs Box: [x=0, y=605, w=36, h=92], confidence: 0.44
Crop Inputs Box: [x=0, y=605, w=36, h=92], confidence: 0.44
Crop Inputs Box: [x=0, y=605, w=36, h=92], confidence: 0.44
Crop Inputs Box: [x=0, y=605, w=36, h=92], confidence: 0.44
Crop Inputs Box: [x=0, y=605, w=36, h=92], confidence: 0.44
Crop Inputs Box: [x=0, y=605, w=36, h=92], confidence: 0.44
Crop Inputs Box: [x=0, y=605, w=36, h=92], confidence: 0.44
Crop Inputs Box: [x=0, y=605, w=36, h=92], confidence: 0.44
Crop Inputs Box: [x=0, y=605, w=36, h=92], confidence: 0.44
Crop Inputs Box: [x=0, y=605, w=36, h=92], confidence: 0.44
Crop Inputs Box: [x=0, y=605, w=36, h=92], confidence: 0.44
Crop Inputs Box: [x=0, y=605, w=36, h=92], confidence: 0.44
Crop Inputs Box: [x=0, y=605, w=36, h=92], confidence: 0.44
Crop Inputs Box: [x=0, y=605, w=36, h=92], confidence: 0.44
Crop Inputs Box: [x=0, y=605, w=36, h=92], confidence: 0.44
Crop Inputs Box: [x=0, y=605, w=36, h=92], confidence: 0.44
Crop Inputs Box: [x=0, y=605, w=36, h=92], confidence: 0.44
Crop Inputs Box: [x=0, y=605, w=36, h=92], confidence: 0.44
Crop Inputs Box: [x=0, y=605, w=36, h=92], confidence: 0.44
Crop Inputs Box: [x=0, y=470, w=83, h=424], confidence: 0.87
Crop Inputs Box: [x=0, y=476, w=51, h=418], confidence: 0.74
Crop Inputs Box: [x=0, y=476, w=51, h=418], confidence: 0.74
Crop Inputs Box: [x=0, y=476, w=51, h=418], confidence: 0.74
Crop Inputs Box: [x=0, y=476, w=51, h=418], confidence: 0.74
Crop Inputs Box: [x=0, y=476, w=51, h=418], confidence: 0.74
Crop Inputs Box: [x=0, y=476, w=51, h=418], confidence: 0.74
Crop Inputs Box: [x=0, y=476, w=51, h=418], confidence: 0.74
Crop Inputs Box: [x=0, y=504, w=82, h=315], confidence: 0.77
Crop Inputs Box: [x=0, y=504, w=82, h=315], confidence: 0.77
Crop Inputs Box: [x=0, y=504, w=82, h=315], confidence: 0.77
Crop Inputs Box: [x=0, y=504, w=82, h=315], confidence: 0.77
Crop Inputs Box: [x=0, y=504, w=82, h=315], confidence: 0.77
Crop Inputs Box: [x=0, y=504, w=82, h=315], confidence: 0.77
Crop Inputs Box: [x=0, y=504, w=82, h=315], confidence: 0.77
Crop Inputs Box: [x=0, y=504, w=82, h=315], confidence: 0.77
Crop Inputs Box: [x=0, y=504, w=82, h=315], confidence: 0.77
Crop Inputs Box: [x=0, y=504, w=82, h=315], confidence: 0.77
Crop Inputs Box: [x=0, y=504, w=82, h=315], confidence: 0.77
Crop Inputs Box: [x=0, y=504, w=82, h=315], confidence: 0.77
Crop Inputs Box: [x=0, y=504, w=82, h=315], confidence: 0.77
Crop Inputs Box: [x=0, y=504, w=82, h=315], confidence: 0.77
Crop Inputs Box: [x=0, y=504, w=82, h=315], confidence: 0.77
Crop Inputs Box: [x=0, y=504, w=82, h=315], confidence: 0.77
Crop Inputs Box: [x=0, y=504, w=82, h=315], confidence: 0.77
Crop Inputs Box: [x=0, y=504, w=82, h=315], confidence: 0.77
Crop Inputs Box: [x=0, y=504, w=82, h=315], confidence: 0.77
Crop Inputs Box: [x=0, y=504, w=82, h=315], confidence: 0.77
Crop Inputs Box: [x=0, y=504, w=82, h=315], confidence: 0.77
Crop Inputs Box: [x=0, y=504, w=82, h=315], confidence: 0.77
Crop Inputs Box: [x=0, y=606, w=36, h=93], confidence: 0.51
Crop Inputs Box: [x=0, y=606, w=36, h=93], confidence: 0.51
Crop Inputs Box: [x=0, y=606, w=36, h=93], confidence: 0.51
Crop Inputs Box: [x=0, y=606, w=36, h=93], confidence: 0.51
Crop Inputs Box: [x=0, y=606, w=36, h=93], confidence: 0.51
Crop Inputs Box: [x=0, y=606, w=36, h=93], confidence: 0.51
Crop Inputs Box: [x=0, y=606, w=36, h=93], confidence: 0.51
Crop Inputs Box: [x=0, y=606, w=36, h=93], confidence: 0.51
Crop Inputs Box: [x=0, y=606, w=36, h=93], confidence: 0.51
Crop Inputs Box: [x=0, y=606, w=36, h=93], confidence: 0.51
Crop Inputs Box: [x=0, y=606, w=36, h=93], confidence: 0.51
Crop Inputs Box: [x=0, y=606, w=36, h=93], confidence: 0.51
Crop Inputs Box: [x=0, y=606, w=36, h=93], confidence: 0.51
Crop Inputs Box: [x=0, y=606, w=36, h=93], confidence: 0.51
Crop Inputs Box: [x=0, y=606, w=36, h=93], confidence: 0.51
Crop Inputs Box: [x=0, y=606, w=36, h=93], confidence: 0.51
Crop Inputs Box: [x=0, y=606, w=36, h=93], confidence: 0.51
Crop Inputs Box: [x=0, y=606, w=36, h=93], confidence: 0.51
Crop Inputs Box: [x=0, y=606, w=36, h=93], confidence: 0.51
Crop Inputs Box: [x=0, y=606, w=36, h=93], confidence: 0.51
Crop Inputs Box: [x=0, y=606, w=36, h=93], confidence: 0.51
Crop Inputs Box: [x=0, y=606, w=36, h=93], confidence: 0.51
Crop Inputs Box: [x=0, y=606, w=36, h=93], confidence: 0.51
Crop Inputs Box: [x=0, y=606, w=36, h=93], confidence: 0.51
Crop Inputs Box: [x=0, y=606, w=36, h=93], confidence: 0.51
Crop Inputs Box: [x=0, y=606, w=36, h=93], confidence: 0.51
Crop Inputs Box: [x=0, y=606, w=36, h=93], confidence: 0.51
Crop Inputs Box: [x=0, y=606, w=36, h=93], confidence: 0.51
